id,title,grade,gradeVer,gender,ageRange/0,ageRange/1,text,servFreq,riskName,general,tool/0,tool/1,tool/2,riskText,rationale,tool/3,tool/4
265,Dental Caries: Oral Fluoride Supplementation -- Children Age 6 Months to 5 Years,B,1,men and women,0,5,The USPSTF recommends that primary care clinicians prescribe oral fluoride supplementation starting at age 6 months for children whose water supply is deficient in fluoride.&nbsp,None,None,142,142,228,224,None,"All children are at potential risk for dental caries; those whose primary water supply is deficient in fluoride (defined as containing &lt;0.6 ppm F) are at particular risk. While there are no validated multivariate screening tools to determine which children are at higher risk for dental caries, there are a number of individual factors that elevate risk. Higher prevalence and severity of dental caries are found among minority and economically disadvantaged children. Other risk factors for caries in children include frequent sugar exposure, inappropriate bottle feeding, developmental defects of the tooth enamel, dry mouth, and a history of previous caries. Maternal and family factors can also increase children's risk. These factors include poor oral hygiene, low socioeconomic status, recent maternal caries, sibling caries, and frequent snacking. Additional factors associated with dental caries in young children include lack of access to dental care; inadequate preventive measures, such as failure to use fluoride-containing toothpastes; and lack of parental knowledge about oral health.","Importance
Dental caries is the most common chronic disease in children in the United States. According to the 1999&ndash;2004 National Health and Nutrition Examination Survey (NHANES), approximately 42% of children ages 2 to 11 years have dental caries in their primary teeth. After decreasing from the early 1970s to the mid-1990s, the prevalence of dental caries in children has been increasing, particularly in young children ages 2 to 5 years.
Recognition of Risk Status
Risk assessment tools generally evaluate risk based on factors such as demographic risk, personal and family oral health history, dietary habits, fluoride exposure, and oral hygiene practices. Information from a clinical evaluation has also been proposed, as well as qualitative or quantitative measure of oral bacterial load. The USPSTF found no studies that evaluated the accuracy of risk assessment instruments for future dental caries in the primary care setting.
Benefits of Preventive Interventions and Early Detection
Preventive Interventions
The USPSTF found adequate evidence that oral fluoride supplementation, also known as dietary fluoride supplementation, in children who have low levels of fluoride in their water and application of fluoride varnish to the primary teeth of all children can each provide moderate benefit in preventing dental caries. The USPSTF found insufficient evidence on the benefits of provider education of parents regarding oral hygiene practices to prevent dental caries in their children.
Screening
The USPSTF found no studies addressing the direct effect of routine oral screening examinations performed by primary care clinicians on improved clinical outcomes in children younger than age 5 years.
Harms of Preventive Interventions and Early Detection
Preventive Interventions
The USPSTF found adequate evidence of a link between early childhood exposure to systemic fluoride and enamel fluorosis, a visible change in the appearance of the enamel due to altered mineralization. Fluorosis can range from mild (small white spots or streaks) to severe (discoloration, pitting, or rough enamel), depending on the overall systemic fluoride exposure level over time.No studies specifically reported on the risk for fluorosis with fluoride varnish; however, compared with other topical fluoride interventions, systematic exposure to fluoride is low after varnish application. It is important to consider a child's overall systemic exposure to fluoride from multiple sources (e.g., water fluoridation, toothpaste, supplements, and/or varnish), but in the United States, enamel fluorosis presents as mild cosmetic changes in &gt;99% of cases. The USPSTF concludes that there is limited evidence about the harms associated with fluoride varnish or other preventive interventions for dental caries, but that these risks are likely small.
Screening
The USPSTF found no studies addressing the magnitude of harms of screening children from birth to age 5 years for dental caries or future risk for dental caries in the primary care setting.
USPSTF Assessment
The USPSTF concludes with moderate certainty that there is a moderate net benefit of preventing future dental caries with oral fluoride supplementation at recommended doses in children older than age 6 months who reside in communities with inadequate water fluoride. The USPSTF concludes with moderate certainty that there is a moderate net benefit of preventing future dental caries with fluoride varnish application in all children starting at the age of eruption of primary teeth to age 5 years. The USPSTF concludes that the evidence on performing routine oral screening examinations for dental caries in children from birth to age 5 years is insufficient, and the balance of benefits and harms of screening cannot be determined.",None
300,Depression: Screening -- Adolescents aged 12 to 18 years,B,1,men and women,12,18,"The USPSTF recommends screening for major depressive disorder (MDD) in adolescents aged 12 to 18 years. Screening should be implemented with adequate systems in place to ensure accurate diagnosis, effective treatment, and appropriate follow-up.",None,Other,161,268,267,0,"The USPSTF recommends screening for MDD in all adolescents but notes that several risk factors might help identify patients who are at higher risk. The causes of MDD are not fully known and likely involve a combination of genetic, biological, and environmental factors. Risk factors for MDD in children and adolescents include female sex; older age; family (especially maternal) history of depression; prior episode of depression; other mental health or behavioral problems; chronic medical illness; overweight and obesity; and, in some studies, Hispanic race/ethnicity. Other psychosocial risk factors include childhood abuse or neglect, exposure to traumatic events (including natural disasters), loss of a loved one or romantic relationship, family conflict, uncertainty about sexual orientation, low socioeconomic status, and poor academic performance.",None,None,None
299,"Depression: Screening -- General adult population, including pregnant and postpartum women",B,1,men and women,18,100,"The USPSTF recommends screening for depression in the general adult population, including pregnant and postpartum women. Screening should be implemented with adequate systems in place to ensure accurate diagnosis, effective treatment, and appropriate follow-up.","There is little evidence regarding the optimal timing for screening. The optimum interval for screening for depression is also unknown; more evidence for all populations is needed to identify ideal screening intervals. A pragmatic approach in the absence of data might include screening all adults who have not been screened previously and using clinical judgment in consideration of risk factors, comorbid conditions, and life events to determine if additional screening of high-risk patients is warranted.",Other,160,264,265,0,"The USPSTF recommends screening in all adults regardless of risk factors. However, a number of factors are associated with an increased risk of depression. Among general adult populations, prevalence rates vary by sex, age, race/ethnicity, education, marital status, geographic location, and employment status. Women, young and middle-aged adults, and nonwhite persons have higher rates of depression than their counterparts, as do persons who are undereducated, previously married, or unemployed. Other groups who are at increased risk of developing depression include persons with chronic illnesses (eg, cancer or cardiovascular disease), other mental health disorders (including substance misuse), or a family history of psychiatric disorders. Among older adults, risk factors for depression include disability and poor health status related to medical illness, complicated grief, chronic sleep disturbance, loneliness, and a history of depression. However, the presence or absence of risk factors alone cannot distinguish patients with depression from those without depression. Risk factors for depression during pregnancy and postpartum include poor self-esteem, child-care stress, prenatal anxiety, life stress, decreased social support, single/unpartnered relationship status, history of depression, difficult infant temperament, previous postpartum depression, lower socioeconomic status, and unintended pregnancy.",None,None,None
293,Diabetes Mellitus (Type 2) and Abnormal Blood Glucose: Screening -- Adults aged 40 to 70 years who are overweight or obese,B,1,men and women,40,70,The USPSTF recommends screening for abnormal blood glucose as part of cardiovascular risk assessment in adults aged 40 to 70 years who are overweight or obese. Clinicians should offer or refer patients with abnormal blood glucose to intensive behavioral counseling interventions to promote a healthful diet and physical activity.,Evidence on the optimal rescreening interval for adults with an initial normal glucose test result is limited.&nbsp,Other,158,158,262,0,None,"Persons who have a family history of diabetes, have a history of gestational diabetes or polycystic ovarian syndrome, or are members of certain racial/ethnic groups (that is, African Americans, American Indians or Alaskan Natives, Asian Americans, Hispanics or Latinos, or Native Hawaiians or Pacific Islanders) may be at increased risk for diabetes at a younger age or at a lower body mass index. Clinicians should consider screening earlier in persons with 1 or more of these characteristics.",None,None
343,Falls Prevention in Community-Dwelling Older Adults: Interventions --Adults 65 or older,B,1,men and women,65,100,The USPSTF recommends exercise interventions to prevent falls in community-dwelling adults 65 years or older who are at increased risk for falls.,None,Other,191,309,310,0,At increased risk for falls.,None,None,None
257,Gestational Diabeetes Mellitus:Screening -- Pregnant Women After 24 Weeks of Gestation,B,1,female,15,49,The USPSTF recommends screening for gestational diabetes mellitus (GDM) in asymptomatic pregnant women after 24 weeks of gestation.,None,Pregnant,138,212,213,0,"Several factors increase a woman's risk for developing GDM, including obesity, increased maternal age, history of GDM, family history of diabetes, and belonging to an ethnic group that has increased risk for developing type 2 diabetes mellitus (Hispanic, Native American, South or East Asian, African American, or Pacific Island descent). Factors associated with a lower risk for developing GDM include age younger than 25 to 30 years, white race, a body mass index (BMI) of 25 kg/m2 or less, no family history (that is, in a first-degree relative) of diabetes, and no history of glucose intolerance or adverse pregnancy outcomes related to GDM.","Importance
Gestational diabetes mellitus is glucose intolerance discovered during pregnancy. The prevalence of GDM in the United States is 1% to 25%, depending on patient demographics and diagnostic thresholds. Pregnant women with gestational diabetes are at increased risk for maternal and fetal complications, including preeclampsia, fetal macrosomia (which can cause shoulder dystocia and birth injury), and neonatal hypoglycemia. Women with GDM are also at increased risk for developing type 2 diabetes mellitus; approximately 15% to 60% of women develop type 2 diabetes within 5 to 15 years of delivery. Screening for GDM generally occurs after the 24th week of pregnancy. Screening before 24 weeks may identify women with glucose intolerance earlier in pregnancy.
Detection
The USPSTF found adequate evidence that primary care providers can accurately detect GDM in asymptomatic pregnant women after 24 weeks of gestation. The most commonly used screening test in the United States is the 50-g oral glucose challenge test (OGCT).Other methods of screening include the fasting plasma glucose test and screening based on risk factors. However, there is limited evidence on these alternative screening approaches. The USPSTF found inadequate evidence to compare the effectiveness of different screening tests or thresholds for a positive screen result.
Benefits of Detection and Early Treatment
The USPSTF found adequate evidence that treatment of screen-detected GDM with dietary modifications, glucose monitoring, and insulin (if needed) can significantly reduce the risk of preeclampsia, fetal macrosomia, and shoulder dystocia. When these outcomes are considered collectively, there is a moderate net benefit for both mother and infant. The benefit of treatment on long-term metabolic outcomes in women who are treated for GDM compared with those who are not treated is uncertain.The USPSTF found inadequate evidence to determine whether there are benefits to screening for GDM in women before 24 weeks of gestation.
Harms of Detection and Early Treatment
Overall, the USPSTF found adequate evidence that the magnitude of the harms of screening and treatment is small to none. Randomized, controlled trials (RCTs) demonstrated an increase in the number of prenatal visits in screen-detected women who were treated for GDM compared with screen-detected women who were not treated. There was conflicting evidence on the risk for an increase in the induction of labor associated with treatment. No significant differences were reported for cesarean delivery or neonatal intensive care unit admissions between women who were treated and women who were not treated for GDM in the overall pooled meta-analysis. Trials also demonstrated no significant differences in the incidence of small-for-gestational-age infants or episodes of neonatal hypoglycemia, but the trials were not adequately powered to detect meaningful differences in these outcomes.
USPSTF Assessment
The USPSTF concludes with moderate certainty that there is a moderate net benefit to screening for gestational diabetes after 24 weeks of gestation to reduce maternal and fetal complications (the collective outcomes of preeclampsia, macrosomia, and shoulder dystocia). The USPSTF concludes that the evidence on screening for gestational diabetes before 24 weeks of gestation is insufficient, and the balance of benefits and harms of screening cannot be determined.",None,None
278,Gonorrhea: Screening -- Sexually Active Women,B,1,female,11,100,The USPSTF recommends screening for gonorrhea in sexually active women age 24 years and younger and in older women who are at increased risk for infection.,"In the absence of studies on screening intervals, a reasonable approach would be to screen patients whose sexual history reveals new or persistent risk factors since the last negative test result.",Sexually Active,149,239,240,0,"Age is a strong predictor of risk for chlamydial and gonococcal infections, with the highest infection rates occurring in women aged 20 to 24 years, followed by females aged 15 to 19 years. Chlamydial infections are 10 times more prevalent than gonococcal infections in young adult women. Among men, infection rates are highest in those aged 20 to 24 years. Other risk factors for infection include having a new sex partner, more than 1 sex partner, a sex partner with concurrent partners, or a sex partner who has an STI; inconsistent condom use among persons who are not in mutually monogamous relationships; previous or coexisting STI; and exchanging sex for money or drugs. Prevalence is also higher among incarcerated populations, military recruits, and patients receiving care at public STI clinics. There are also racial and ethnic differences in STI prevalence. In 2012, black and Hispanic persons had higher rates of infection than white persons. Clinicians should consider the communities they serve and may want to consult local public health authorities for guidance on identifying groups that are at increased risk.",None,None,None
275,Healthful Diet and Physical Activity for CVD Disease Prevention: Counseling -- Adults with CVD Risk Factors,B,1,men and women,18,100,The USPSTF recommends offering or referring adults who are overweight or obese and have additional cardiovascular disease (CVD) risk factors to intensive behavioral counseling interventions to promote a healthful diet and physical activity for CVD prevention.,"Most studies evaluated interventions that combined counseling on a healthful diet and physical activity and were intensive, with multiple contacts (which may have included individual or group counseling sessions) over extended periods. Interventions involved an average of 5 to 16 contacts over 9 to 12 months depending on their intensity. Most of the sessions were in-person, and many included additional telephone contacts.",None,147,235,236,0,"This recommendation applies to adults aged 18 years or older in primary care settings who are overweight or obese and have known CVD risk factors (hypertension, dyslipidemia, impaired fasting glucose, or the metabolic syndrome). In the studies reviewed by the USPSTF, the vast majority of participants had a BMI greater than 25 kg/m2.","Importance
Cardiovascular disease, primarily in the forms of heart disease and stroke, is a leading cause of death in the United States. Obesity is associated with increased CVD mortality. Adults who adhere to national guidelines for a healthful diet&nbsp;and physical activity&nbsp;have lower cardiovascular morbidity and mortality than those who do not. All persons, regardless of CVD risk status, can accrue the health benefits of improved nutrition, healthy eating behaviors, and increased physical activity.
Benefits of Behavioral Counseling Interventions
The USPSTF found adequate evidence that intensive behavioral counseling interventions have moderate benefits for CVD risk in overweight or obese adults who are at increased risk for CVD, including decreases in blood pressure, lipid and fasting glucose levels, and body mass index (BMI) and increases in levels of physical activity. The reduction in glucose levels was large enough to decrease the incidence of a diabetes diagnosis. The USPSTF found inadequate direct evidence that intensive behavioral counseling interventions lead to decreases in mortality or CVD rates.
Harms of Behavioral Counseling Interventions
The USPSTF found adequate evidence that the harms of behavioral counseling interventions are small to none. None of the dietary intervention studies explicitly reported adverse events. Studies of physical activity interventions reported mostly minor adverse events, and intense physical activity was rarely associated with cardiovascular events.
USPSTF Assessment
The USPSTF concludes with moderate certainty that intensive behavioral counseling interventions to promote a healthful diet and physical activity have a moderate net benefit in overweight or obese adults who are at increased risk for CVD.",None,None
268,Hepatitis B: Screening -- Nonpregnant Adolescents and Adults At High Risk,B,1,men and women,12,100,The USPSTF recommends screening for hepatitis B virus (HBV) infection in persons at high risk for infection.&nbsp,None,Other,161,144,229,230,None,"A major risk factor for HBV infection is country of origin. The risk for HBV infection varies substantially by country of origin in foreign-born persons in the United States. Persons born in countries with a prevalence of HBV infection of 2% or greater account for 47% to 95% of those with chronic HBV infection in the United States (Table 1). Another important risk factor for HBV infection is lack of vaccination in infancy in U.S.-born persons with parents from a country or region with high prevalence (&ge;8%), such as sub-Saharan Africa, central and southeast Asia, and China (Figure). Because HBV infection prevalence may gradually change over time, it is important to note that some countries and regions with prevalence rates between 5-7% are considered to be highly endemic areas.&nbsp;The CDC also recommends screening in persons receiving hemodialysis or cytotoxic or immunosuppressive therapy (for example, chemotherapy for malignant diseases and immunosuppression related to organ transplantation and for rheumatologic and gastroenterologic disorders). Some persons with combinations of risk factors who are not members of one of these risk factor groups may also be at increased risk for HBV infection. However, reliable information about combinations of risk factors is not available. Clinicians should exercise their judgment in deciding whether these persons are at sufficiently high risk to warrant screening. For example, screening is probably appropriate in settings that treat a large proportion of persons at increased risk, such as clinics for sexually transmitted infections; HIV testing and treatment centers; health care settings that provide services for injection drug users or men who have sex with men; correctional facilities; and institutions that serve populations from countries with a high prevalence of infection, including community health centers. The prevalence of HBV infection is low in the general U.S. population, and most infected persons do not develop complications. Therefore, screening is not recommended in those who are not at increased risk. The USPSTF notes that high rates of HBV infection have been found in cities and other areas with high numbers of immigrants or migrant persons from Asia or the Pacific Islands or their adult children. Providers should consider the population they serve when making screening decisions.","Importance
Approximately 700,000 to 2.2 million persons in the United States have chronic HBV infection. In the United States, persons considered at high risk for HBV infection include those from countries with a high prevalence of HBV infection, HIV-positive persons, injection drug users, household contacts of persons with HBV infection, and men who have sex with men.The natural history of chronic HBV infection varies but can include the potential long-term sequelae of cirrhosis, hepatic decompensation, and hepatocellular carcinoma. An estimated 15% to 25% of persons with chronic HBV infection die of cirrhosis or hepatocellular carcinoma. Those with chronic infection also serve as a reservoir for person-to-person transmission of HBV infection. Screening for HBV infection could identify chronically infected persons who may benefit from treatment or other interventions, such as surveillance for hepatocellular carcinoma.
Detection
Identification of chronic HBV infection based on serologic markers is considered accurate. Immunoassays for detecting hepatitis B surface antigen (HBsAg) have a reported sensitivity and specificity of greater than 98%.
Benefits of Detection and Early Intervention
The USPSTF found no randomized, controlled trials that provide direct evidence of the health benefits (that is, reduction in morbidity, mortality, and disease transmission) of screening for HBV infection in asymptomatic, nonpregnant adolescents and adults.&nbsp;The USPSTF found adequate evidence that HBV vaccination is effective at decreasing disease acquisition.&nbsp; The USPSTF found convincing evidence that antiviral treatment in patients with chronic HBV infection is effective at improving intermediate outcomes (that is, virologic or histologic improvement or clearance of hepatitis B e antigen [HBeAg]) and adequate evidence that antiviral regimens improve health outcomes (such as reduced risk for hepatocellular carcinoma). The evidence showed an association between improvement in intermediate outcomes after antiviral therapy and improvement in clinical outcomes, but outcomes were heterogeneous and the studies had methodological limitations. The USPSTF found inadequate evidence that education or behavior change counseling reduces disease transmission. The prevalence of HBV infection differs among various populations. As a result, the magnitude of benefit of screening varies according to risk group. The USPSTF concludes that screening is of moderate benefit for populations at high risk for HBV infection, given the accuracy of the screening test and the effectiveness of antiviral treatment.
Harms of Detection and Early Intervention
The USPSTF found inadequate evidence on the harms of screening for HBV infection. Although evidence to determine the magnitude of harms of screening is limited, the USPSTF considers these harms to be small to none.The USPSTF found adequate evidence that antiviral therapy regimens are associated with a higher risk for withdrawal due to adverse events than placebo. However, trials found no difference in the risk for serious adverse events or the number of participants who had any adverse event. In addition, most antiviral adverse events are self-limited with discontinuation of therapy. The USPSTF found adequate evidence that the magnitude of harms of treatment is small to none.
USPSTF Assessment
The USPSTF concludes with moderate certainty that screening for HBV infection in adults at high risk for infection has moderate net benefit.",None
239,Hepatitis C Virus Infection: Screening--Adults at High Risk and Adults born between 1945 and 1965,B,1,men and women,18,100,The USPSTF recommends screening for hepatitis C virus (HCV) infection in persons at high risk for infection. The USPSTF also recommends offering 1-time screening for HCV infection to adults born between 1945 and 1965.&nbsp,None,Other,129,191,190,0,None,"The most important risk factor for HCV infection is past or current injection drug use. Another established risk factor for HCV infection is receipt of a blood transfusion before 1992. Because of the implementation of screening programs for donated blood, blood transfusions are no longer an important source of HCV infection. In contrast, 60% of new HCV infections occur in persons who report injection drug use within the past 6 months. Additional risk factors include long-term hemodialysis, being born to an HCV-infected mother, incarceration, intranasal drug use, getting an unregulated tattoo, and other percutaneous exposures (such as in health care workers or from having surgery before the implementation of universal precautions).&nbsp; Evidence on tattoos and other percutaneous exposures as risk factors for HCV infection is limited. The relative importance of these additional risk factors may differ on the basis of geographic location and other factors. Large population-based studies report an independent association between high-risk sexual behaviors (multiple sex partners, unprotected sex, or sex with an HCV-infected person or injection drug user) and HCV infection. However, HCV seems to be inefficiently transmitted through sexual contact, and observed associations may have been confounded by other high-risk behaviors. In 1998, the highest prevalence rates of the anti-HCV antibody occurred in persons with significant direct percutaneous exposures, such as injection drug users and persons with hemophilia (60% to 90%); persons with less significant percutaneous exposures involving smaller amounts of blood, such as patients receiving hemodialysis (10% to 30%), had more moderate prevalence rates. Persons engaging in high-risk sexual behaviors (1% to 10%); recipients of blood transfusions (6%); and persons with infrequent percutaneous exposures, such as health care workers (1% to 2%), had the lowest prevalence rates. Among patients with abnormal results on liver function tests (measurement of aspartate aminotransferase, alanine aminotransferase, or bilirubin) who were tested for reasons other than HCV screening, finding the cause of the abnormality often includes testing for HCV infection and is considered case finding rather than screening; therefore, it is outside the scope of this recommendation. In 2010, the overall incidence rate of acute HCV infection was 0.3 cases per 100,000 persons and varied by race or ethnicity. The incidence rate for acute hepatitis C was lowest among persons of Asian or Pacific Islander descent and highest among American Indians and Alaskan natives. Blacks had the highest mortality rates from HCV, at 6.5 to 7.8 deaths per 100,000 persons, according to data from 2004 to 2008.","Importance
Hepatitis C virus is the most common chronic bloodborne pathogen in the United States and a leading cause of complications from chronic liver disease. The prevalence of the anti-HCV antibody in the United States is approximately 1.6% in noninstitutionalized persons. According to data from 1999 to 2008, about three fourths of patients in the United States living with HCV infection were born between 1945 and 1965, with a peak prevalence of 4.3% in persons aged 40 to 49 years from 1999 to 2002. The most important risk factor for HCV infection is past or current injection drug use, with most studies reporting a prevalence of 50% or more. The incidence of HCV infection was more than 200,000 cases per year in the 1980s but decreased to 25,000 cases per year by 2001. According to the Centers for Disease Control and Prevention (CDC), there were an estimated 16,000 new cases of HCV infection in 2009 and an estimated 15,000 deaths in 2007. Hepatitis C&ndash;related end-stage liver disease is the most common indication for liver transplants among U.S. adults, accounting for more than 30% of cases. Studies suggest that about one half of the recently observed 3-fold increase in incidence of hepatocellular carcinoma is related to acquisition of HCV infection 2 to 4 decades earlier.
Detection
The USPSTF found adequate evidence that anti&ndash;HCV antibody testing followed by confirmatory polymerase chain reaction testing accurately detects chronic HCV infection.In screening strategies targeting persons with risk factors for HCV infection (such as past or present injection drug use, sex with an injection drug user, or blood transfusion before 1992), anti&ndash;HCV antibody testing is associated with high sensitivity (&gt;90%) and small numbers needed to screen to identify 1 case of HCV infection (&lt;20 persons). Anti&ndash;HCV antibody testing remains highly accurate in low-prevalence populations, although the numbers needed to screen to detect 1 case of HCV infection are higher.The USPSTF also found adequate evidence that various noninvasive tests have good to very good diagnostic accuracy in diagnosing fibrosis or cirrhosis.
Benefits of Detection and Early Intervention
The USPSTF found no direct evidence on the benefit of screening for HCV infection in asymptomatic adults in reducing morbidity and mortality. However, the USPSTF found adequate evidence that antiviral regimens result in sustained virologic response (SVR) and improved clinical outcomes.The USPSTF found inadequate evidence that counseling or immunization of patients with HCV infection against other infections improves health outcomes, reduces transmission of HCV, or changes high-risk behaviors. The USPSTF found inadequate evidence that knowledge of positive status for HCV infection reduces high-risk behaviors. The USPSTF also found inadequate evidence that labor management and breastfeeding strategies in HCV-positive women are effective at reducing risk for mother-to-child transmission.Given the accuracy of the screening test and the availability of effective interventions for HCV infection, the USPSTF concludes that screening is of moderate benefit for populations at high risk for infection. The USPSTF concludes that 1-time screening in all adults in the United States born between 1945 and 1965 is also of moderate benefit.
Harms of Detection and Early Intervention
The USPSTF found limited evidence on the harms of screening for HCV. Potential harms of screening include anxiety, patient labeling, and feelings of stigmatization.The USPSTF found adequate evidence on the harms associated with the diagnostic evaluation used to guide treatment decisions (liver biopsy). These harms include bleeding, infection, and severe pain in approximately 1% of persons who had a liver biopsy and death in less than 0.2%. However, the use of liver biopsy to guide treatment decisions is declining, and noninvasive tests have sufficient accuracy to diagnose fibrosis and cirrhosis. Thus, the absolute risk to persons who currently receive a diagnosis of HCV infection and subsequent treatment is probably declining.The USPSTF found adequate evidence that antiviral therapy regimens are associated with a high rate of harms, such as fatigue, headache, flu-like symptoms, hematologic events, and rash. However, antiviral therapy is given for a defined duration, serious adverse events are uncommon, and adverse events are self-limited and typically resolve after treatment is discontinued. The USPSTF found adequate evidence that these harms of treatment are small.
USPSTF Assessment
The USPSTF concludes with moderate certainty that screening for HCV infection in adults at increased risk for infection and 1-time screening in adults in the 1945&ndash;1965 birth cohort has moderate net benefit.",None
228,Intimate Partner Violence: Screening -- Women Childbearing Age,B,1,female,14,46,"The U.S. Preventive Services Task Force (USPSTF) recommends that clinicians screen women of childbearing age for intimate partner violence (IPV), such as domestic violence, and provide or refer women who screen positive to intervention services. This recommendation applies to women who do not have signs or symptoms of abuse.",None,None,124,179,180,0,"Although all women are at potential risk for abuse, factors that elevate risk include young age, substance abuse, marital difficulties, and economic hardships.","Importance
Intimate partner violence and abuse of elderly and vulnerable adults is common in the United States but often remains undetected. Nearly 31% of women and 26% of men report experiencing some form of IPV in their lifetime. Approximately 25% of women and 14% of men have experienced the most severe types of IPV in their lifetime. These estimates likely underrepresent actual rates because of underreporting. In addition to the immediate effects of IPV, such as injury and death, there are other health consequences, many with long-term effects, including sexually transmitted diseases, pelvic inflammatory disease, and unintended pregnancy. Rates of chronic pain, neurological disorders, gastrointestinal disorders, migraine headaches, and other disabilities&nbsp;are also increased. Intimate partner violence is also associated with preterm birth, low birth weight, and decreased gestational age. Individuals experiencing IPV often develop chronic mental health conditions, such as depression, posttraumatic stress disorder, anxiety disorders, substance abuse, and suicidal behavior. For adolescent and young adults, the effects of physical and sexual assault are associated with poor self-esteem, alcohol and drug abuse, eating disorders, obesity, risky sexual behaviors, teen pregnancy, depression, anxiety, suicidality, and other conditions.Little information is available on the prevalence of abuse among noninstitutionalized elderly or vulnerable adults, although reported rates range from 2% to 25%.
Detection
For IPV, there is adequate evidence that available screening instruments can identify current and past abuse or increased risk for abuse. Several instruments used in more than 1 study were highly sensitive and specific.The USPSTF found inadequate evidence on the accuracy of screening instruments for elderly or vulnerable adults.
Benefits of Detection and Early Intervention
The USPSTF found adequate evidence that effective interventions can reduce violence, abuse, and physical or mental harms for women of reproductive age.The USPSTF found inadequate evidence that screening or early detection reduces exposure to abuse or reduces physical or mental harms or mortality for elderly and vulnerable adults.
Harms of Detection and Early Intervention
For IPV, the USPSTF found adequate evidence that the risk for harm to the individual from screening or interventions is no greater than small.For elderly and vulnerable adults, the USPSTF found inadequate evidence on the harms of screening or interventions.
USPSTF Assessment
The USPSTF concludes with moderate certainty that screening women of childbearing age for IPV has a moderate net benefit.  The USPSTF concludes that the benefits and harms of screening elderly or vulnerable adults for abuse are uncertain, and that the balance of benefits and harms cannot be determined.",None,None
314,Latent Tuberculosis Infection: Screening -- Asymptomatic adults at increased risk for infection,B,1,men and women,18,100,The USPSTF recommends screening for latent tuberculosis infection (LTBI) in populations at increased risk.,"The USPSTF found no evidence on the optimal frequency of screening for LTBI. Depending on specific risk factors, screening frequency could range from 1-time only screening among persons who are at low risk for future tuberculosis exposure to annual screening among those who are at continued risk of exposure.",Other,172,284,None,0,"increased risk for LTBI based on increased prevalence of active disease and increased risk of exposure include persons who were born in, or are former residents of, countries with increased tuberculosis prevalence and persons who live in, or have lived in, high-risk congregate settings (eg, homeless shelters and correctional facilities). Clinicians can consult their local or state health departments for more information about populations at risk in their community, because local demographic patterns may vary across the United States.",None,None,None
